"alert","package","severity","manifest","githubScope","ghsa","affectedRange","firstPatched","url"
"67","undici","medium","pnpm-lock.yaml","runtime","GHSA-m8rv-5g2x-5cg5",">= 7.0.0, < 7.29.0","7.29.0","https://github.com/quieter-email/quieter/security/dependabot/67"
"66","undici","medium","pnpm-lock.yaml","runtime","GHSA-jr45-8vmc-qm54",">= 7.0.0, < 7.29.0","7.29.0","https://github.com/quieter-email/quieter/security/dependabot/66"
"65","undici","medium","pnpm-lock.yaml","runtime","GHSA-v3r7-h72x-cjcm",">= 7.0.0, < 7.29.0","7.29.0","https://github.com/quieter-email/quieter/security/dependabot/65"
"64","undici","medium","pnpm-lock.yaml","runtime","GHSA-8xcm-r25x-g524",">= 7.0.0, < 7.29.0","7.29.0","https://github.com/quieter-email/quieter/security/dependabot/64"
"63","undici","high","pnpm-lock.yaml","runtime","GHSA-4cwx-7wf7-3272",">= 7.0.0, < 7.29.0","7.29.0","https://github.com/quieter-email/quieter/security/dependabot/63"
"62","postcss","medium","pnpm-lock.yaml","development","GHSA-fxqj-rqcc-2cmp","<= 8.5.22","8.5.23","https://github.com/quieter-email/quieter/security/dependabot/62"
"59","postcss","high","pnpm-lock.yaml","development","GHSA-r28c-9q8g-f849","<= 8.5.17","8.5.18","https://github.com/quieter-email/quieter/security/dependabot/59"
"58","valibot","medium","pnpm-lock.yaml","runtime","GHSA-5qjj-4xww-7phc","<= 1.4.1","1.4.2","https://github.com/quieter-email/quieter/security/dependabot/58"
"57","better-auth","high","pnpm-lock.yaml","runtime","GHSA-qq9h-g4jm-xgf3",">= 1.1.3, < 1.6.22","1.6.22","https://github.com/quieter-email/quieter/security/dependabot/57"
"56","hono","medium","pnpm-lock.yaml","runtime","GHSA-w62v-xxxg-mg59",">= 4.0.0, < 4.12.27","4.12.27","https://github.com/quieter-email/quieter/security/dependabot/56"
"55","hono","medium","pnpm-lock.yaml","runtime","GHSA-xgm2-5f3f-mvvc",">= 4.3.3, < 4.12.27","4.12.27","https://github.com/quieter-email/quieter/security/dependabot/55"
"54","js-yaml","high","pnpm-lock.yaml","runtime","GHSA-52cp-r559-cp3m",">= 4.0.0, < 4.3.0","4.3.0","https://github.com/quieter-email/quieter/security/dependabot/54"
"53","brace-expansion","high","pnpm-lock.yaml","development","GHSA-3jxr-9vmj-r5cp",">= 3.0.0, < 5.0.7","5.0.7","https://github.com/quieter-email/quieter/security/dependabot/53"
"52","better-auth","low","pnpm-lock.yaml","runtime","GHSA-2vg6-77g8-24mp",">= 0.3.4, < 1.6.11","1.6.11","https://github.com/quieter-email/quieter/security/dependabot/52"
"51","better-auth","high","pnpm-lock.yaml","runtime","GHSA-7w99-5wm4-3g79","< 1.6.11","1.6.11","https://github.com/quieter-email/quieter/security/dependabot/51"
